Sample,X,Y,Z
817,0.004,0.035,0.926
818,0.000,0.039,0.922
819,0.004,0.035,0.918
820,0.004,0.031,0.922
821,0.000,0.035,0.930
822,0.000,0.035,0.926
823,0.000,0.039,0.918
824,0.000,0.031,0.926
825,0.000,0.035,0.910
826,0.004,0.035,0.922
827,0.004,0.023,0.926
828,0.000,0.027,0.930
829,0.000,0.031,0.914
830,0.000,0.027,0.926
831,-0.004,0.035,0.918
832,0.004,0.035,0.926
833,0.000,0.043,0.934
834,-0.004,0.043,0.926
835,0.000,0.031,0.926
836,0.000,0.027,0.914
837,0.000,0.035,0.922
838,0.000,0.031,0.918
839,0.000,0.035,0.918
840,0.004,0.039,0.918
841,0.004,0.031,0.914
842,0.004,0.031,0.922
843,0.004,0.031,0.926
844,0.004,0.035,0.918
845,0.008,0.035,0.918
846,0.012,0.035,0.922
847,0.004,0.047,0.926
848,0.008,0.031,0.910
849,0.004,0.031,0.922
850,0.016,0.020,0.922
851,0.008,0.035,0.918
852,0.016,0.027,0.930
853,0.020,0.031,0.918
854,0.023,0.031,0.922
855,0.012,0.031,0.914
856,0.008,0.027,0.914
857,0.008,0.035,0.918
858,0.027,0.027,0.922
859,0.016,0.035,0.922
860,0.016,0.031,0.918
861,0.027,0.035,0.922
862,0.012,0.023,0.918
863,0.012,0.039,0.922
864,0.020,0.031,0.918
865,0.008,0.031,0.922
866,0.016,0.039,0.926
867,0.012,0.035,0.918
868,0.016,0.039,0.930
869,0.012,0.035,0.922
870,0.012,0.039,0.926
871,0.008,0.035,0.922
872,0.012,0.027,0.926
873,0.008,0.035,0.926
874,0.000,0.039,0.922
875,0.004,0.047,0.914
876,0.000,0.035,0.910
877,0.004,0.027,0.918
878,0.012,0.027,0.930
879,0.012,0.035,0.922
880,0.008,0.031,0.926
881,0.000,0.031,0.926
882,0.004,0.043,0.930
883,0.008,0.031,0.914
884,0.000,0.039,0.922
885,0.000,0.031,0.930
886,0.004,0.035,0.910
887,0.004,0.039,0.914
888,0.000,0.039,0.914
889,0.000,0.043,0.918
890,0.004,0.035,0.926
891,0.004,0.031,0.926
892,0.004,0.031,0.926
893,0.004,0.035,0.918
894,0.000,0.035,0.926
895,0.008,0.035,0.918
896,0.004,0.035,0.926
897,0.000,0.039,0.922
898,0.004,0.031,0.922
899,0.004,0.023,0.914
900,0.004,0.031,0.922
901,0.000,0.031,0.914
902,0.004,0.035,0.922
903,0.016,0.039,0.922
904,0.004,0.043,0.926
905,0.012,0.031,0.922
906,0.008,0.035,0.918
907,0.004,0.027,0.918
908,0.012,0.035,0.914
909,0.004,0.035,0.926
910,0.016,0.035,0.922
911,0.008,0.031,0.922
912,0.012,0.043,0.918
913,0.016,0.031,0.914
914,0.008,0.035,0.926
915,0.004,0.039,0.910
916,0.008,0.031,0.926
917,0.016,0.039,0.926
918,0.008,0.031,0.926
919,0.008,0.035,0.914
920,0.004,0.039,0.922
921,0.016,0.031,0.922
922,0.012,0.023,0.922
923,0.012,0.035,0.918
924,0.008,0.043,0.922
925,0.004,0.031,0.918
926,0.000,0.031,0.914
927,0.004,0.031,0.918
928,0.012,0.031,0.914
929,0.008,0.039,0.914
930,0.004,0.031,0.918
931,0.004,0.043,0.918
932,0.004,0.039,0.930
933,0.004,0.039,0.926
934,0.008,0.027,0.914
935,0.000,0.035,0.922
936,0.004,0.043,0.922
937,0.004,0.031,0.918
938,0.004,0.035,0.910
939,0.004,0.027,0.918
940,0.004,0.035,0.914
941,0.012,0.035,0.922
942,0.000,0.031,0.922
943,0.004,0.027,0.918
944,0.000,0.027,0.922
945,0.004,0.035,0.918
946,0.004,0.031,0.918
947,0.000,0.039,0.914
948,0.004,0.035,0.918
949,0.004,0.031,0.922
950,0.004,0.031,0.910
951,0.004,0.035,0.914
952,0.004,0.043,0.922
953,0.004,0.031,0.926
954,0.004,0.039,0.922
955,0.008,0.039,0.918
956,0.012,0.031,0.918
957,0.004,0.035,0.910
958,0.012,0.023,0.918
959,0.012,0.043,0.922
960,0.004,0.035,0.922
961,0.008,0.043,0.914
962,0.012,0.031,0.926
963,0.004,0.031,0.922
964,0.016,0.031,0.918
965,0.008,0.031,0.922
966,0.012,0.031,0.914
967,0.008,0.031,0.914
968,0.008,0.031,0.914
969,0.012,0.039,0.918
970,0.012,0.031,0.922
971,0.020,0.031,0.922
972,0.008,0.035,0.918
973,0.016,0.043,0.926
974,0.016,0.031,0.922
975,0.008,0.027,0.930
976,0.008,0.027,0.922
977,0.012,0.027,0.914
978,0.004,0.035,0.918
979,0.008,0.031,0.930
980,0.012,0.035,0.922
981,0.012,0.023,0.918
982,0.012,0.027,0.926
983,0.008,0.031,0.926
984,0.008,0.031,0.926
985,0.004,0.031,0.910
986,0.004,0.035,0.918
987,0.004,0.031,0.922
988,0.000,0.039,0.910
989,0.004,0.027,0.914
990,0.000,0.043,0.918
991,0.008,0.031,0.918
992,0.004,0.023,0.922
993,0.000,0.039,0.922
